Player,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
Lao A ,85,45,40,"52,94%",34,51,"3,52","4,95","11,93","3,72","3,12",363,433,138,4,19,11718,942,1231,11509
Limmp,210,111,99,"52,86%",125,85,"6,93","3,33","9,93","6,14","5,06",553,553,292,13,22,22867,3426,118,19261
goking,55,29,26,"52,73%",18,37,"3,13","4,38","10,36","3,28","3,08",273,354,45,3,16,7231,273,635,8271
Pajkatt,184,97,87,"52,72%",79,105,"7,12","3,46","7,88","5,08","4,33",549,548,288,15,21,19501,4675,551,19549
Crystallize,97,51,46,"52,58%",45,52,"6,62","3,72","8,44","4,85","4,05",524,563,285,10,21,19205,3281,396,18176
Kingrd,162,85,77,"52,47%",83,79,"3,02","4,86","13,34","3,62","3,37",311,374,65,3,18,8836,355,1214,10563
shadow,124,65,59,"52,42%",52,72,"6,43","4,32","9,94","4,39","3,79",543,548,288,17,22,20026,3552,596,18881
w33,189,99,90,"52,38%",95,94,"6,51","5,42","10,13","4,18","3,07",472,515,207,8,21,19722,2125,282,16507
Amateratsu,42,22,20,"52,38%",17,25,"3,86","7,86","15,57","2,66","2,47",270,360,41,1,18,11536,191,375,9774
Illidan,42,22,20,"52,38%",17,25,"9,9","6,29","12,05","3,99","3,49",526,550,306,10,22,26327,3656,933,19105
Mag,134,70,64,"52,24%",63,71,"4,82","4,61","12,83","4,36","3,83",426,475,191,5,20,15647,1210,937,15585
DuBu,211,110,101,"52,13%",102,109,"1,9","5,73","12,58","2,76","2,53",233,287,31,1,15,7160,262,1130,7911
NoiA,98,51,47,"52,04%",33,65,"3,09","5,33","15,42","4,1","3,48",282,329,36,2,17,10103,459,1079,8958
Sneyking,125,65,60,"52,00%",44,81,"4,38","5,13","11,98","3,74","3,19",416,485,176,6,19,14943,1298,1121,12892
Kotaro.sr4ever,102,53,49,"51,96%",48,54,"7,18","4,41","7,88","4,58","3,41",556,558,263,12,21,17580,4371,203,18863
ghost,56,29,27,"51,79%",31,25,"7,36","3,48","9,04","5,82","4,71",554,598,259,12,21,18084,2515,262,17951
Dendi,205,106,99,"51,71%",83,122,"6,84","4,09","9,01","4,8","3,88",532,571,284,19,22,20007,2756,389,18207
GeneRaL,205,106,99,"51,71%",83,122,"4,64","5,27","10,73","3,55","2,91",399,442,165,10,19,15372,1632,494,13363
VANSKOR,159,82,77,"51,57%",95,64,"2,57","6,27","14,55","3,1","2,73",259,330,41,1,17,8962,371,1928,9281
rApy-,128,66,62,"51,56%",71,57,"3,92","4,39","11,45","4,32","3,5",416,479,172,6,20,12867,1075,1832,14886
LESLAO,132,68,64,"51,52%",83,49,"4,06","4,58","12,45","4,45","3,6",426,478,197,5,20,14745,1078,956,14025
FuckinEh,132,68,64,"51,52%",83,49,"7,39","3,97","9,08","4,7","4,15",568,552,305,13,21,19815,4645,769,20082
Bardo,132,68,64,"51,52%",83,49,"2,3","5,28","11,58","2,96","2,63",260,320,52,2,16,7281,427,1152,9236
4dr,183,94,89,"51,37%",107,76,"7,24","4,13","8,86","4,41","3,9",536,559,287,13,21,21226,3072,471,19212
Crimson,39,20,19,"51,28%",22,17,"2,03",5,"11,49","3,06","2,7",268,272,36,2,14,6534,262,3081,8169
dark,82,42,40,"51,22%",40,42,"4,79","5,43","13,18","4,49","3,31",425,480,210,9,20,17128,1563,293,15420
Ame Smurf,43,22,21,"51,16%",14,29,"6,58","3,6","9,09","5,2","4,35",567,587,297,16,22,18160,3461,131,20025
fy,225,115,110,"51,11%",104,121,"3,95","5,24","12,64","3,75","3,16",358,418,125,5,19,12608,917,774,12208
hFn,157,80,77,"50,96%",81,76,"8,25","3,99","8,41","5,21","4,17",640,609,359,16,22,21543,5264,546,23300
BinGo,57,29,28,"50,88%",33,24,"4,02","4,53","12,28","4,64","3,6",357,406,133,5,18,12864,607,338,11526
